2021-03-10T10:12:11,708 | WARN  | activator-1-thread-2 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2021-03-10T10:12:13,334 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Adding features: deployer/[4.2.9,4.2.9],ssh/[4.2.9,4.2.9],management/[4.2.9,4.2.9],system/[4.2.9,4.2.9],ids/[3.0.2,3.0.2],bundle/[4.2.9,4.2.9],log/[4.2.9,4.2.9],aries-blueprint/[4.2.9,4.2.9],kar/[4.2.9,4.2.9],config/[4.2.9,4.2.9],service/[4.2.9,4.2.9],framework/[4.2.9,4.2.9],package/[4.2.9,4.2.9],shell-compat/[4.2.9,4.2.9],shell/[4.2.9,4.2.9],feature/[4.2.9,4.2.9]
2021-03-10T10:12:13,377 | WARN  | downloader-5-thread-1 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2021-03-10T10:12:18,363 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 | Changes to perform:
2021-03-10T10:12:18,363 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |   Region: root
2021-03-10T10:12:18,364 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |     Bundles to install:
2021-03-10T10:12:18,364 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.bouncycastle/bcprov-jdk15on/1.66
2021-03-10T10:12:18,364 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/camel-ids/3.0.2
2021-03-10T10:12:18,365 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/camel-influxdb/3.0.2
2021-03-10T10:12:18,365 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/camel-multipart-processor/3.0.2
2021-03-10T10:12:18,365 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.codepoetics/protonpack/1.15
2021-03-10T10:12:18,365 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.9.10
2021-03-10T10:12:18,366 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.12.0
2021-03-10T10:12:18,366 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-core/2.9.10
2021-03-10T10:12:18,366 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-core/2.12.0
2021-03-10T10:12:18,366 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.9.10
2021-03-10T10:12:18,367 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.12.0
2021-03-10T10:12:18,367 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.9.10
2021-03-10T10:12:18,367 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.12.0
2021-03-10T10:12:18,367 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       wrap:mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.9.10$overwrite=merge&Import-Package=javax.ws.rs*;version="[2.0,3)",com.fasterxml.jackson*;version="[2.8,3)"
2021-03-10T10:12:18,368 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.12.0
2021-03-10T10:12:18,368 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       wrap:mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.9.10$overwrite=merge&Import-Package=javax.ws.rs*;version="[2.0,3)",com.fasterxml.jackson.module.jaxb;resolution:=optional;version="[2.8,3)",com.fasterxml.jackson*;version="[2.8,3)"
2021-03-10T10:12:18,368 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.12.0
2021-03-10T10:12:18,368 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.9.10
2021-03-10T10:12:18,369 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.12.0
2021-03-10T10:12:18,369 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.fasterxml.woodstox/woodstox-core/5.0.3
2021-03-10T10:12:18,369 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.github.ben-manes.caffeine/caffeine/2.8.0
2021-03-10T10:12:18,369 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.github.jnr/jnr-ffi/2.1.5
2021-03-10T10:12:18,370 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.github.jnr/jffi/1.2.15
2021-03-10T10:12:18,370 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.github.jnr/jffi/1.2.15/jar/native
2021-03-10T10:12:18,370 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.google.guava/guava/19.0
2021-03-10T10:12:18,370 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.google.guava/guava/27.0-jre
2021-03-10T10:12:18,371 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.google.protobuf/protobuf-java/3.13.0
2021-03-10T10:12:18,371 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.jayway.jsonpath/json-path/2.4.0
2021-03-10T10:12:18,371 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.sun.activation/javax.activation/1.2.0
2021-03-10T10:12:18,371 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:com.sun.istack/istack-commons-runtime/3.0.7
2021-03-10T10:12:18,372 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       wrap:mvn:com.typesafe.netty/netty-reactive-streams/2.0.3
2021-03-10T10:12:18,372 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/cxf-jaxws-patch/3.0.2
2021-03-10T10:12:18,372 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/camel-idscp2-osgi/0.2.0
2021-03-10T10:12:18,372 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-acme/3.0.2
2021-03-10T10:12:18,372 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-api/2.1.0
2021-03-10T10:12:18,373 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-comm/1.1.0
2021-03-10T10:12:18,373 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-container-manager/3.0.2
2021-03-10T10:12:18,373 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-dataflow-control/3.0.2
2021-03-10T10:12:18,373 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-dynamic-tls/3.0.2
2021-03-10T10:12:18,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-endpoint-config/3.0.2
2021-03-10T10:12:18,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-infomodel-manager/3.0.2
2021-03-10T10:12:18,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-route-manager/3.0.2
2021-03-10T10:12:18,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-settings/3.0.2
2021-03-10T10:12:18,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-token-manager/3.0.2
2021-03-10T10:12:18,375 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/ids-webconsole/3.0.2
2021-03-10T10:12:18,375 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/idscp2/0.2.0
2021-03-10T10:12:18,375 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/idscp2-app-layer/0.2.0
2021-03-10T10:12:18,375 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.dropwizard.metrics/metrics-core/3.2.6
2021-03-10T10:12:18,376 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-buffer/4.1.25.Final
2021-03-10T10:12:18,376 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-codec/4.1.25.Final
2021-03-10T10:12:18,376 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-codec-dns/4.1.25.Final
2021-03-10T10:12:18,376 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-codec-http/4.1.25.Final
2021-03-10T10:12:18,377 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-codec-socks/4.1.25.Final
2021-03-10T10:12:18,377 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-common/4.1.25.Final
2021-03-10T10:12:18,377 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-handler/4.1.25.Final
2021-03-10T10:12:18,377 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-handler-proxy/4.1.25.Final
2021-03-10T10:12:18,378 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-resolver/4.1.25.Final
2021-03-10T10:12:18,378 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-resolver-dns/4.1.25.Final
2021-03-10T10:12:18,378 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-transport/4.1.25.Final
2021-03-10T10:12:18,378 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-transport-native-epoll/4.1.25.Final/jar/linux-x86_64
2021-03-10T10:12:18,378 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-transport-native-kqueue/4.1.43.Final
2021-03-10T10:12:18,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:io.netty/netty-transport-native-unix-common/4.1.25.Final
2021-03-10T10:12:18,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:jakarta.activation/jakarta.activation-api/1.2.1
2021-03-10T10:12:18,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:jakarta.xml.bind/jakarta.xml.bind-api/2.3.2
2021-03-10T10:12:18,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/javax-xml-bind-patch/3.0.2
2021-03-10T10:12:18,379 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.el/javax.el-api/3.0.0
2021-03-10T10:12:18,380 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.mail/mail/1.4.7
2021-03-10T10:12:18,380 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2021-03-10T10:12:18,380 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.validation/validation-api/2.0.1.Final
2021-03-10T10:12:18,380 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.websocket/javax.websocket-api/1.1
2021-03-10T10:12:18,380 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/jnr-unixsocket-wrapper/3.0.2
2021-03-10T10:12:18,381 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.json/json/20180813
2021-03-10T10:12:18,381 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:de.fhg.aisec.ids/jsonwebtoken-wrapper/3.0.2
2021-03-10T10:12:18,382 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:net.minidev/accessors-smart/1.2
2021-03-10T10:12:18,382 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:net.minidev/json-smart-action/2.3
2021-03-10T10:12:18,382 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.antlr/antlr4-runtime/4.7.2
2021-03-10T10:12:18,382 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2021-03-10T10:12:18,382 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.3.1
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.2
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2021-03-10T10:12:18,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2021-03-10T10:12:18,384 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2021-03-10T10:12:18,384 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.7
2021-03-10T10:12:18,384 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.2.3
2021-03-10T10:12:18,384 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2021-03-10T10:12:18,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-ahc/3.0.0
2021-03-10T10:12:18,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-api/3.0.0
2021-03-10T10:12:18,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-attachments/3.0.0
2021-03-10T10:12:18,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-base/3.0.0
2021-03-10T10:12:18,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-bean/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-blueprint/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-browse/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-caffeine-lrucache/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-cloud/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-commands-core/3.0.0
2021-03-10T10:12:18,386 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-controlbus/3.0.0
2021-03-10T10:12:18,387 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-core/3.0.0
2021-03-10T10:12:18,387 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-core-engine/3.0.0
2021-03-10T10:12:18,387 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-core-osgi/3.0.0
2021-03-10T10:12:18,387 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-core-xml/3.0.0
2021-03-10T10:12:18,388 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-csv/3.0.0
2021-03-10T10:12:18,388 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-cxf/3.0.0
2021-03-10T10:12:18,388 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-cxf-transport/3.0.0
2021-03-10T10:12:18,388 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-dataformat/3.0.0
2021-03-10T10:12:18,389 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-dataset/3.0.0
2021-03-10T10:12:18,389 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-direct/3.0.0
2021-03-10T10:12:18,389 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-directvm/3.0.0
2021-03-10T10:12:18,389 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-file/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-http/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-http-common/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-jackson/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-jaxp/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-jetty/3.0.0
2021-03-10T10:12:18,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-jetty-common/3.0.0
2021-03-10T10:12:18,391 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-jsonpath/3.0.0
2021-03-10T10:12:18,391 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-language/3.0.0
2021-03-10T10:12:18,391 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.camel/camel-log/3.0.0
